Razão.Social,Resultado.Bruto.1,Resultado.Bruto.2
USINAS SID DE MINAS GERAIS S.A.-USIMINAS,26.523.851,27.013.732
VALE S.A.,341.714.838,391.021.097
VALID SOLUÇÕES S.A.,323.304,322.337
VERT COMPANHIA SECURITIZADORA,2.305,2.14
VIA VAREJO S.A.,24.353.000,21.808.000
VIVARA PARTICIPAÇOES S.A,NA,237.576.870
VIVER INCORPORADORA E CONSTRUTORA S.A.,647.844,553.725
VULCABRAS/AZALEIA S.A.,314.861,338.094
WEG S.A.,15.399.850,15.479.421
WETZEL S.A.,10.778,8.879
WHIRLPOOL S.A.,698.272,881.693
WILSON SONS LTD.,577.238,543.998
WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,318.618,355.036
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,84.442,115.984
